key	ic_filter_quantile	pc	topN	spearman	topN_overlap
P1_A	0.35	0.1	5000	0.963267482602234	0.2754
P1_C	0.35	0.1	5000	0.963427483974725	0.266
P15_A	0.35	0.1	5000	0.956696223824069	0.1774
P15_C	0.35	0.1	5000	0.96437910423452	0.2056
P2_A	0.35	0.1	5000	0.960132850089042	0.4376
P26_A	0.35	0.1	5000	0.967315352892759	0.2752
P28_A	0.35	0.1	5000	0.964562164145533	0.2596
P28_C	0.35	0.1	5000	0.958915254640655	0.3602
P3_C	0.35	0.1	5000	0.930183324694543	0.2288
P31_A	0.35	0.1	5000	0.957554150087885	0.2914
P31_C	0.35	0.1	5000	0.958567751569018	0.2506
P36_A	0.35	0.1	5000	0.96737190751298	0.3488
P36_C	0.35	0.1	5000	0.964602448070444	0.3334
P37_A	0.35	0.1	5000	0.954745506624679	0.2088
P37_C	0.35	0.1	5000	0.961234092583556	0.2562
P38_A	0.35	0.1	5000	0.957573506275035	0.1606
P38_C	0.35	0.1	5000	0.959514972684834	0.213
P4_A	0.35	0.1	5000	0.915764869037548	0.3398
P4_C	0.35	0.1	5000	0.935320969042249	0.3154
P7_A	0.35	0.1	5000	0.964608307812425	0.2704
P7_C	0.35	0.1	5000	0.950507960029017	0.1426
P8_A	0.35	0.1	5000	0.961546304571532	0.2364
P8_C	0.35	0.1	5000	0.946620049467937	0.2418
P9_A	0.35	0.1	5000	0.953749704219005	0.321
P9_C	0.35	0.1	5000	0.956771556057797	0.3104
