key	ic_filter_quantile	pc	topN	spearman	topN_overlap
P1_A	0.05	0.1	5000	0.960879708005059	0.0872
P1_C	0.05	0.1	5000	0.96227588947632	0.0732
P15_A	0.05	0.1	5000	0.95369272096328	0.0292
P15_C	0.05	0.1	5000	0.960573607372649	0.0358
P2_A	0.05	0.1	5000	0.953805197469458	0.1848
P26_A	0.05	0.1	5000	0.965044117132932	0.0608
P28_A	0.05	0.1	5000	0.961560409435136	0.0556
P28_C	0.05	0.1	5000	0.959807550836132	0.101
P3_C	0.05	0.1	5000	0.931915319046889	0.0396
P31_A	0.05	0.1	5000	0.958595955386785	0.0724
P31_C	0.05	0.1	5000	0.958870593626076	0.0602
P36_A	0.05	0.1	5000	0.965456226013948	0.1036
P36_C	0.05	0.1	5000	0.963232743662905	0.0964
P37_A	0.05	0.1	5000	0.954745139593443	0.0368
P37_C	0.05	0.1	5000	0.959846363283436	0.0564
P38_A	0.05	0.1	5000	0.95491405024923	0.0184
P38_C	0.05	0.1	5000	0.955973578674772	0.0418
P4_A	0.05	0.1	5000	0.918042973640492	0.084
P4_C	0.05	0.1	5000	0.936661377737866	0.084
P7_A	0.05	0.1	5000	0.963237942391616	0.0476
P7_C	0.05	0.1	5000	0.949891842589419	0.017
P8_A	0.05	0.1	5000	0.958500851611587	0.0502
P8_C	0.05	0.1	5000	0.947670168569108	0.0454
P9_A	0.05	0.1	5000	0.954861923577174	0.0944
P9_C	0.05	0.1	5000	0.955916819698557	0.0818
P1_A	0.1	0.1	5000	0.962696500147696	0.1616
P1_C	0.1	0.1	5000	0.963848718470172	0.1378
P15_A	0.1	0.1	5000	0.956059149921962	0.068
P15_C	0.1	0.1	5000	0.963063020366759	0.0916
P2_A	0.1	0.1	5000	0.956839913171545	0.2924
P26_A	0.1	0.1	5000	0.966759297077115	0.1342
P28_A	0.1	0.1	5000	0.963702254350918	0.124
P28_C	0.1	0.1	5000	0.960519387666603	0.1996
P3_C	0.1	0.1	5000	0.93240691294944	0.0872
P31_A	0.1	0.1	5000	0.959351568974314	0.1518
P31_C	0.1	0.1	5000	0.959915184599573	0.128
P36_A	0.1	0.1	5000	0.967150156334893	0.1934
P36_C	0.1	0.1	5000	0.964853494116014	0.1886
P37_A	0.1	0.1	5000	0.956045278678762	0.0818
P37_C	0.1	0.1	5000	0.96157445500447	0.1204
P38_A	0.1	0.1	5000	0.957071795407618	0.059
P38_C	0.1	0.1	5000	0.958605623756142	0.0956
P4_A	0.1	0.1	5000	0.917375824547066	0.1698
P4_C	0.1	0.1	5000	0.937030561713853	0.1712
P7_A	0.1	0.1	5000	0.9646981846103	0.121
P7_C	0.1	0.1	5000	0.951582537493163	0.042
P8_A	0.1	0.1	5000	0.960318885501757	0.1208
P8_C	0.1	0.1	5000	0.94813527300256	0.109
P9_A	0.1	0.1	5000	0.955631809634316	0.18
P9_C	0.1	0.1	5000	0.957026291793525	0.1662
P1_A	0.15	0.1	5000	0.962484221811235	0.2006
P1_C	0.15	0.1	5000	0.963490545915426	0.1844
