q	spearman_median	spearman_q25	spearman_q75	overlap_q25	overlap_q75
5	0.958500851611587	0.953805197469458	0.960879708005059		
10	0.959351568974314	0.956045278678762	0.963063020366759		
15	0.958952759607612	0.95527297090607	0.963441608371714		
20	0.958696230664474	0.954684982027382	0.963162743893076		
25	0.958515815866266	0.954458617937988	0.963088344077867		
30	0.958621406444594	0.954516006911648	0.963205585982195		
35	0.958915254640655	0.954745506624679	0.963427483974725		
40	0.959350193473934	0.955079710565823	0.963779587153281		
45	0.959866298694442	0.955477406728115	0.964333358887758		
50	0.960098655442063	0.955880681014036	0.964913604499435		
